as_of,issue,index,currency,country,cons,net_mcap,weight_pct
2026-07-31,AWNAMERS,FTSE North America,USD,Canada,85,3098729,4.59
2026-07-31,AWNAMERS,FTSE North America,USD,USA,502,64394309,95.41
