as_of,issue,index,currency,country,cons,net_mcap,weight_pct
2026-07-31,AWDPACXJ,FTSE Developed Asia Pacific ex Japan,USD,Australia,105,1687922,32.76
2026-07-31,AWDPACXJ,FTSE Developed Asia Pacific ex Japan,USD,Hong Kong,66,501455,9.73
2026-07-31,AWDPACXJ,FTSE Developed Asia Pacific ex Japan,USD,Korea,155,2517868,48.87
2026-07-31,AWDPACXJ,FTSE Developed Asia Pacific ex Japan,USD,New Zealand,11,53080,1.03
2026-07-31,AWDPACXJ,FTSE Developed Asia Pacific ex Japan,USD,Singapore,36,391905,7.61
